data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),2,0.02,data_quality,2018-08-01,2018-08-31,Q6c
Income and Sources (4.2) at Start,45,0.12,data_quality,2018-08-01,2018-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,51,0.54,data_quality,2018-08-01,2018-08-31,Q6c
Income and Sources (4.2) at Exit,3,0.05,data_quality,2018-08-01,2018-08-31,Q6c
