data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),6,0.04,data_quality,2018-03-01,2018-03-31,Q6c
Income and Sources (4.2) at Start,52,0.12,data_quality,2018-03-01,2018-03-31,Q6c
Income and Sources (4.2) at Annual Assessment,75,0.66,data_quality,2018-03-01,2018-03-31,Q6c
Income and Sources (4.2) at Exit,14,0.13,data_quality,2018-03-01,2018-03-31,Q6c
