"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",14,0.06
"""Income and Sources (4.2) at Start""",203,0.24
"""Income and Sources (4.2) at Annual Assessment""",226,0.8
"""Income and Sources (4.2) at Exit""",111,0.56
