"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",188,160
"""1-3 days""",18,12
"""4-6 days""",9,1
"""7-10 days""",3,7
"""11+ days""",24,49
