, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",991,636,333,13,9
"""Hispanic/Latin(a)(o)(x)""",91,37,52,2,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",7,2,2,0,3
"""Total""",1091,676,388,15,12
