"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",24,0.09
"""Income and Sources (4.2) at Start""",296,0.23
"""Income and Sources (4.2) at Annual Assessment""",348,0.79
"""Income and Sources (4.2) at Exit""",74,0.36
