, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1497,980,481,23,13
"""Hispanic/Latin(a)(o)(x)""",148,52,90,6,0
"""Client Doesn't Know/Client Refused""",10,6,1,0,3
"""Data Not Collected""",15,4,5,1,5
"""Total""",1670,1042,577,30,21
