"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",196,148
"""1-3 days""",20,8
"""4-6 days""",5,18
"""7-10 days""",20,6
"""11+ days""",117,78
