"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",19,0.06
"""Income and Sources (4.2) at Start""",247,0.24
"""Income and Sources (4.2) at Annual Assessment""",327,0.81
"""Income and Sources (4.2) at Exit""",110,0.47
