, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1226,793,408,15,10
"""Hispanic/Latin(a)(o)(x)""",118,50,64,4,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",10,5,2,0,3
"""Total""",1356,849,475,19,13
