"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",26,17,9
"""31 to 60 days""",4,1,3
"""61 to 90 days""",3,0,3
"""91 to 180 days""",8,1,7
"""181 to 365 days""",8,1,7
"""366 to 730 Days (1-2 Yrs)""",9,0,9
"""731 to 1,095 Days (2-3 Yrs)""",7,0,7
"""1,096 to 1,460 Days (3-4 Yrs)""",3,0,3
"""1,461 to 1,825 Days (5-5 Yrs)""",2,0,2
"""More than 1,825 Days (>5 Yrs)""",3,0,3
"""Data Not Collected""",0,0,0
"""Total""",73,20,53
