"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",265,217
"""1-3 days""",30,17
"""4-6 days""",8,10
"""7-10 days""",5,5
"""11+ days""",69,45
