data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),14,0.04,data_quality,2019-10-01,2019-10-31,Q6c
Income and Sources (4.2) at Start,219,0.26,data_quality,2019-10-01,2019-10-31,Q6c
Income and Sources (4.2) at Annual Assessment,96,0.62,data_quality,2019-10-01,2019-10-31,Q6c
Income and Sources (4.2) at Exit,147,0.51,data_quality,2019-10-01,2019-10-31,Q6c
