"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",200,90,110
"""31 to 60 days""",81,32,49
"""61 to 90 days""",61,30,31
"""91 to 180 days""",63,20,43
"""181 to 365 days""",65,12,53
"""366 to 730 Days (1-2 Yrs)""",40,1,39
"""731 to 1,095 Days (2-3 Yrs)""",10,0,10
"""1,096 to 1,460 Days (3-4 Yrs)""",8,0,8
"""1,461 to 1,825 Days (5-5 Yrs)""",17,0,17
"""More than 1,825 Days (>5 Yrs)""",60,0,60
"""Data Not Collected""",0,0,0
"""Total""",605,185,420
