"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",13,0.07
"""Income and Sources (4.2) at Start""",56,0.12
"""Income and Sources (4.2) at Annual Assessment""",95,0.76
"""Income and Sources (4.2) at Exit""",19,0.16
