"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",37,91
"""1-3 days""",25,25
"""4-6 days""",12,11
"""7-10 days""",8,2
"""11+ days""",78,56
