time_for_record_entry,number_of_project_entry_records,number_of_project_exit_records,population,start_date,end_date,question
4-6 days,12,22,data_quality,2016-03-01,2016-03-31,Q6e
7-10 days,31,17,data_quality,2016-03-01,2016-03-31,Q6e
11+ days,83,74,data_quality,2016-03-01,2016-03-31,Q6e
0 days,51,17,data_quality,2016-04-01,2016-04-30,Q6e
1-3 days,23,33,data_quality,2016-04-01,2016-04-30,Q6e
4-6 days,11,12,data_quality,2016-04-01,2016-04-30,Q6e
7-10 days,10,8,data_quality,2016-04-01,2016-04-30,Q6e
11+ days,27,45,data_quality,2016-04-01,2016-04-30,Q6e
0 days,82,59,data_quality,2016-05-01,2016-05-31,Q6e
1-3 days,0,4,data_quality,2016-05-01,2016-05-31,Q6e
4-6 days,3,2,data_quality,2016-05-01,2016-05-31,Q6e
7-10 days,1,3,data_quality,2016-05-01,2016-05-31,Q6e
11+ days,38,53,data_quality,2016-05-01,2016-05-31,Q6e
0 days,65,38,data_quality,2016-06-01,2016-06-30,Q6e
1-3 days,4,16,data_quality,2016-06-01,2016-06-30,Q6e
4-6 days,8,4,data_quality,2016-06-01,2016-06-30,Q6e
7-10 days,6,6,data_quality,2016-06-01,2016-06-30,Q6e
11+ days,39,58,data_quality,2016-06-01,2016-06-30,Q6e
0 days,92,36,data_quality,2016-07-01,2016-07-31,Q6e
1-3 days,14,4,data_quality,2016-07-01,2016-07-31,Q6e
4-6 days,6,3,data_quality,2016-07-01,2016-07-31,Q6e
7-10 days,8,2,data_quality,2016-07-01,2016-07-31,Q6e
11+ days,65,53,data_quality,2016-07-01,2016-07-31,Q6e
0 days,126,65,data_quality,2016-08-01,2016-08-31,Q6e
1-3 days,0,4,data_quality,2016-08-01,2016-08-31,Q6e
4-6 days,6,1,data_quality,2016-08-01,2016-08-31,Q6e
7-10 days,10,0,data_quality,2016-08-01,2016-08-31,Q6e
11+ days,109,79,data_quality,2016-08-01,2016-08-31,Q6e
0 days,89,90,data_quality,2016-09-01,2016-09-30,Q6e
1-3 days,15,5,data_quality,2016-09-01,2016-09-30,Q6e
4-6 days,3,6,data_quality,2016-09-01,2016-09-30,Q6e
7-10 days,6,6,data_quality,2016-09-01,2016-09-30,Q6e
11+ days,77,119,data_quality,2016-09-01,2016-09-30,Q6e
0 days,90,57,data_quality,2016-10-01,2016-10-31,Q6e
1-3 days,5,12,data_quality,2016-10-01,2016-10-31,Q6e
4-6 days,5,2,data_quality,2016-10-01,2016-10-31,Q6e
7-10 days,12,3,data_quality,2016-10-01,2016-10-31,Q6e
11+ days,59,82,data_quality,2016-10-01,2016-10-31,Q6e
0 days,96,69,data_quality,2016-11-01,2016-11-30,Q6e
1-3 days,16,9,data_quality,2016-11-01,2016-11-30,Q6e
4-6 days,2,1,data_quality,2016-11-01,2016-11-30,Q6e
7-10 days,9,6,data_quality,2016-11-01,2016-11-30,Q6e
11+ days,90,48,data_quality,2016-11-01,2016-11-30,Q6e
0 days,64,89,data_quality,2016-12-01,2016-12-31,Q6e
1-3 days,12,7,data_quality,2016-12-01,2016-12-31,Q6e
4-6 days,13,7,data_quality,2016-12-01,2016-12-31,Q6e
7-10 days,0,0,data_quality,2016-12-01,2016-12-31,Q6e
11+ days,105,97,data_quality,2016-12-01,2016-12-31,Q6e
0 days,53,80,data_quality,2017-01-01,2017-01-31,Q6e
1-3 days,19,14,data_quality,2017-01-01,2017-01-31,Q6e
4-6 days,13,1,data_quality,2017-01-01,2017-01-31,Q6e
7-10 days,6,4,data_quality,2017-01-01,2017-01-31,Q6e
11+ days,108,122,data_quality,2017-01-01,2017-01-31,Q6e
0 days,37,91,data_quality,2017-02-01,2017-02-28,Q6e
1-3 days,25,25,data_quality,2017-02-01,2017-02-28,Q6e
4-6 days,12,11,data_quality,2017-02-01,2017-02-28,Q6e
7-10 days,8,2,data_quality,2017-02-01,2017-02-28,Q6e
11+ days,78,56,data_quality,2017-02-01,2017-02-28,Q6e
0 days,50,79,data_quality,2017-03-01,2017-03-31,Q6e
1-3 days,15,5,data_quality,2017-03-01,2017-03-31,Q6e
4-6 days,25,11,data_quality,2017-03-01,2017-03-31,Q6e
