summary,population,start_date,end_date,question,status,count
Median Length,all_persons,2016-06-01,2016-06-30,Q22b,stayers,87
Average Length,all_persons,2016-07-01,2016-07-31,Q22b,leavers,107
Average Length,all_persons,2016-07-01,2016-07-31,Q22b,stayers,611
Median Length,all_persons,2016-07-01,2016-07-31,Q22b,leavers,62
Median Length,all_persons,2016-07-01,2016-07-31,Q22b,stayers,67
Average Length,all_persons,2016-08-01,2016-08-31,Q22b,leavers,50
Average Length,all_persons,2016-08-01,2016-08-31,Q22b,stayers,539
Median Length,all_persons,2016-08-01,2016-08-31,Q22b,leavers,31
Median Length,all_persons,2016-08-01,2016-08-31,Q22b,stayers,55
Average Length,all_persons,2016-09-01,2016-09-30,Q22b,leavers,40
Average Length,all_persons,2016-09-01,2016-09-30,Q22b,stayers,598
Median Length,all_persons,2016-09-01,2016-09-30,Q22b,leavers,35
Median Length,all_persons,2016-09-01,2016-09-30,Q22b,stayers,73
Average Length,all_persons,2016-10-01,2016-10-31,Q22b,leavers,104
Average Length,all_persons,2016-10-01,2016-10-31,Q22b,stayers,601
Median Length,all_persons,2016-10-01,2016-10-31,Q22b,leavers,26
Median Length,all_persons,2016-10-01,2016-10-31,Q22b,stayers,91
Average Length,all_persons,2016-11-01,2016-11-30,Q22b,leavers,37
Average Length,all_persons,2016-11-01,2016-11-30,Q22b,stayers,545
Median Length,all_persons,2016-11-01,2016-11-30,Q22b,leavers,6
Median Length,all_persons,2016-11-01,2016-11-30,Q22b,stayers,97
Average Length,all_persons,2016-12-01,2016-12-31,Q22b,leavers,71
Average Length,all_persons,2016-12-01,2016-12-31,Q22b,stayers,594
Median Length,all_persons,2016-12-01,2016-12-31,Q22b,leavers,41
Median Length,all_persons,2016-12-01,2016-12-31,Q22b,stayers,102
Average Length,all_persons,2017-01-01,2017-01-31,Q22b,leavers,81
Average Length,all_persons,2017-01-01,2017-01-31,Q22b,stayers,639
Median Length,all_persons,2017-01-01,2017-01-31,Q22b,leavers,62
Median Length,all_persons,2017-01-01,2017-01-31,Q22b,stayers,85
Average Length,all_persons,2017-02-01,2017-02-28,Q22b,leavers,55
Average Length,all_persons,2017-02-01,2017-02-28,Q22b,stayers,751
Median Length,all_persons,2017-02-01,2017-02-28,Q22b,leavers,31
Median Length,all_persons,2017-02-01,2017-02-28,Q22b,stayers,130
Average Length,all_persons,2017-03-01,2017-03-31,Q22b,leavers,79
Average Length,all_persons,2017-03-01,2017-03-31,Q22b,stayers,776
Median Length,all_persons,2017-03-01,2017-03-31,Q22b,leavers,23
Median Length,all_persons,2017-03-01,2017-03-31,Q22b,stayers,144
Average Length,all_persons,2017-04-01,2017-04-30,Q22b,leavers,45
Average Length,all_persons,2017-04-01,2017-04-30,Q22b,stayers,811
Median Length,all_persons,2017-04-01,2017-04-30,Q22b,leavers,32
Median Length,all_persons,2017-04-01,2017-04-30,Q22b,stayers,151
Average Length,all_persons,2017-05-01,2017-05-31,Q22b,leavers,85
Average Length,all_persons,2017-05-01,2017-05-31,Q22b,stayers,747
Median Length,all_persons,2017-05-01,2017-05-31,Q22b,leavers,40
Median Length,all_persons,2017-05-01,2017-05-31,Q22b,stayers,99
Average Length,all_persons,2017-06-01,2017-06-30,Q22b,leavers,47
Average Length,all_persons,2017-06-01,2017-06-30,Q22b,stayers,693
Median Length,all_persons,2017-06-01,2017-06-30,Q22b,leavers,28
Median Length,all_persons,2017-06-01,2017-06-30,Q22b,stayers,99
Average Length,all_persons,2017-07-01,2017-07-31,Q22b,leavers,106
Average Length,all_persons,2017-07-01,2017-07-31,Q22b,stayers,663
Median Length,all_persons,2017-07-01,2017-07-31,Q22b,leavers,69
Median Length,all_persons,2017-07-01,2017-07-31,Q22b,stayers,90
Average Length,all_persons,2017-08-01,2017-08-31,Q22b,leavers,121
Average Length,all_persons,2017-08-01,2017-08-31,Q22b,stayers,703
Median Length,all_persons,2017-08-01,2017-08-31,Q22b,leavers,58
Median Length,all_persons,2017-08-01,2017-08-31,Q22b,stayers,97
Average Length,all_persons,2017-09-01,2017-09-30,Q22b,leavers,474
Average Length,all_persons,2017-09-01,2017-09-30,Q22b,stayers,642
Median Length,all_persons,2017-09-01,2017-09-30,Q22b,leavers,69
Median Length,all_persons,2017-09-01,2017-09-30,Q22b,stayers,87
Average Length,all_persons,2017-10-01,2017-10-31,Q22b,leavers,180
Average Length,all_persons,2017-10-01,2017-10-31,Q22b,stayers,601
Median Length,all_persons,2017-10-01,2017-10-31,Q22b,leavers,46
Median Length,all_persons,2017-10-01,2017-10-31,Q22b,stayers,91
Average Length,all_persons,2017-11-01,2017-11-30,Q22b,leavers,64
Average Length,all_persons,2017-11-01,2017-11-30,Q22b,stayers,583
Median Length,all_persons,2017-11-01,2017-11-30,Q22b,leavers,14
Median Length,all_persons,2017-11-01,2017-11-30,Q22b,stayers,90
Average Length,all_persons,2017-12-01,2017-12-31,Q22b,leavers,100
Average Length,all_persons,2017-12-01,2017-12-31,Q22b,stayers,604
Median Length,all_persons,2017-12-01,2017-12-31,Q22b,leavers,52
Median Length,all_persons,2017-12-01,2017-12-31,Q22b,stayers,94
Average Length,all_persons,2018-01-01,2018-01-31,Q22b,leavers,183
Average Length,all_persons,2018-01-01,2018-01-31,Q22b,stayers,537
Median Length,all_persons,2018-01-01,2018-01-31,Q22b,leavers,35
Median Length,all_persons,2018-01-01,2018-01-31,Q22b,stayers,86
Average Length,all_persons,2018-02-01,2018-02-28,Q22b,leavers,52
Average Length,all_persons,2018-02-01,2018-02-28,Q22b,stayers,526
Median Length,all_persons,2018-02-01,2018-02-28,Q22b,leavers,24
Median Length,all_persons,2018-02-01,2018-02-28,Q22b,stayers,84
Average Length,all_persons,2018-03-01,2018-03-31,Q22b,leavers,128
Average Length,all_persons,2018-03-01,2018-03-31,Q22b,stayers,554
Median Length,all_persons,2018-03-01,2018-03-31,Q22b,leavers,36
Median Length,all_persons,2018-03-01,2018-03-31,Q22b,stayers,102
Average Length,all_persons,2018-04-01,2018-04-30,Q22b,leavers,49
Average Length,all_persons,2018-04-01,2018-04-30,Q22b,stayers,560
Median Length,all_persons,2018-04-01,2018-04-30,Q22b,leavers,14
Median Length,all_persons,2018-04-01,2018-04-30,Q22b,stayers,124
Average Length,all_persons,2018-05-01,2018-05-31,Q22b,leavers,91
Average Length,all_persons,2018-05-01,2018-05-31,Q22b,stayers,556
Median Length,all_persons,2018-05-01,2018-05-31,Q22b,leavers,33
Median Length,all_persons,2018-05-01,2018-05-31,Q22b,stayers,108
Average Length,all_persons,2018-06-01,2018-06-30,Q22b,leavers,476
Average Length,all_persons,2018-06-01,2018-06-30,Q22b,stayers,493
Median Length,all_persons,2018-06-01,2018-06-30,Q22b,leavers,69
Median Length,all_persons,2018-06-01,2018-06-30,Q22b,stayers,107
Average Length,all_persons,2018-07-01,2018-07-31,Q22b,leavers,47
Average Length,all_persons,2018-07-01,2018-07-31,Q22b,stayers,452
Median Length,all_persons,2018-07-01,2018-07-31,Q22b,leavers,32
Median Length,all_persons,2018-07-01,2018-07-31,Q22b,stayers,97
