data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),101,76,0.75,data_quality,2021-04-01,2021-04-30,Q6f
Bed Night (All clients in ES - NBN),17,4,0.24,data_quality,2021-04-01,2021-04-30,Q6f
