, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",926,770,152,0,4
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
