, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",1584,936,589,40,19
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
