"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",246,157
"""1-3 days""",33,12
"""4-6 days""",12,13
"""7-10 days""",10,9
"""11+ days""",38,106
