"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",22,0.07
"""Income and Sources (4.2) at Start""",359,0.25
"""Income and Sources (4.2) at Annual Assessment""",360,0.77
"""Income and Sources (4.2) at Exit""",89,0.39
