, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1685,1069,567,36,13
"""Hispanic/Latin(a)(o)(x)""",160,58,96,6,0
"""Client Doesn't Know/Client Refused""",8,6,1,0,1
"""Data Not Collected""",18,6,5,2,5
"""Total""",1871,1139,669,44,19
