"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",53,80
"""1-3 days""",19,14
"""4-6 days""",13,1
"""7-10 days""",6,4
"""11+ days""",108,122
