, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",636,320,309,6,1
"""Hispanic/Latin(a)(o)(x)""",65,27,37,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",703,347,346,7,3
