, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",382,199,174,8,1
"""Black, African American, or African""",149,61,84,4,0
"""Asian or Asian American""",1,1,0,0,0
"""American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander""",1,1,0,0,0
"""Multiple Races""",50,8,42,0,0
"""Client Doesn't Know/Client Refused""",2,2,0,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",587,272,300,12,3
