"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",1,0.01
"""Income and Sources (4.2) at Start""",48,0.12
"""Income and Sources (4.2) at Annual Assessment""",76,0.67
"""Income and Sources (4.2) at Exit""",7,0.09
