"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",60,52
"""1-3 days""",9,6
"""4-6 days""",24,16
"""7-10 days""",5,1
"""11+ days""",60,64
