"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",16,0.1
"""Income and Sources (4.2) at Start""",49,0.13
"""Income and Sources (4.2) at Annual Assessment""",48,0.55
"""Income and Sources (4.2) at Exit""",15,0.14
