"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",35,67
"""1-3 days""",4,1
"""4-6 days""",15,2
"""7-10 days""",9,14
"""11+ days""",34,70
