"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",130,48,82
"""31 to 60 days""",88,27,61
"""61 to 90 days""",38,5,33
"""91 to 180 days""",97,39,58
"""181 to 365 days""",49,3,46
"""366 to 730 Days (1-2 Yrs)""",43,11,32
"""731 to 1,095 Days (2-3 Yrs)""",32,8,24
"""1,096 to 1,460 Days (3-4 Yrs)""",10,2,8
"""1,461 to 1,825 Days (5-5 Yrs)""",3,0,3
"""More than 1,825 Days (>5 Yrs)""",44,11,33
"""Data Not Collected""",0,0,0
"""Total""",534,154,380
