, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",486,246,230,9,1
"""Hispanic/Latin(a)(o)(x)""",45,13,30,2,0
"""Client Doesn't Know/Client Refused""",1,0,0,1,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",534,259,260,12,3
