"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",22,14,8
"""31 to 60 days""",2,0,2
"""61 to 90 days""",5,0,5
"""91 to 180 days""",20,1,19
"""181 to 365 days""",25,0,25
"""366 to 730 Days (1-2 Yrs)""",11,0,11
"""731 to 1,095 Days (2-3 Yrs)""",5,0,5
"""1,096 to 1,460 Days (3-4 Yrs)""",5,0,5
"""1,461 to 1,825 Days (5-5 Yrs)""",7,0,7
"""More than 1,825 Days (>5 Yrs)""",6,0,6
"""Data Not Collected""",0,0,0
"""Total""",108,15,93
