, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Under 5""",142,0,126,16,0
"""5 -  12""",255,0,236,19,0
"""13 - 17""",104,0,89,15,0
"""18 - 24""",143,77,65,0,1
"""25 - 34""",361,235,124,0,2
"""35 - 44""",346,240,103,0,3
"""45 - 54""",258,236,22,0,0
"""55 - 61""",206,196,9,0,1
"""62 +""",169,161,7,0,1
"""Client Doesn't Know/Client Refused""",5,0,0,0,5
"""Data Not Collected""",13,0,0,0,13
"""Total""",2002,1145,781,50,26
