, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1757,1056,643,41,17
"""Hispanic/Latin(a)(o)(x)""",205,68,131,6,0
"""Client Doesn't Know/Client Refused""",12,10,1,0,1
"""Data Not Collected""",28,11,6,3,8
"""Total""",2002,1145,781,50,26
