"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",0,0.0
"""Income and Sources (4.2) at Start""",438,0.29
"""Income and Sources (4.2) at Annual Assessment""",481,0.8
"""Income and Sources (4.2) at Exit""",126,0.75
