"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",285,249
"""1-3 days""",8,5
"""4-6 days""",6,6
"""7-10 days""",3,1
"""11+ days""",14,0
