"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",26,18
"""1-3 days""",17,5
"""4-6 days""",1,2
"""7-10 days""",5,7
"""11+ days""",112,79
