"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",62,63
"""1-3 days""",3,1
"""4-6 days""",9,0
"""7-10 days""",9,9
"""11+ days""",71,101
