count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,123,37,57,exit,2015-10-01,2015-10-31,Q13b2,without_children,29
None,123,37,57,exit,2015-10-01,2015-10-31,Q13b2,with_only_children,0
None,123,37,57,exit,2015-10-01,2015-10-31,Q13b2,unknown_household_type,0
1 Condition,17,9,4,exit,2015-10-01,2015-10-31,Q13b2,without_children,4
1 Condition,17,9,4,exit,2015-10-01,2015-10-31,Q13b2,with_only_children,0
1 Condition,17,9,4,exit,2015-10-01,2015-10-31,Q13b2,unknown_household_type,0
2 Conditions,10,4,0,exit,2015-10-01,2015-10-31,Q13b2,without_children,6
2 Conditions,10,4,0,exit,2015-10-01,2015-10-31,Q13b2,with_only_children,0
2 Conditions,10,4,0,exit,2015-10-01,2015-10-31,Q13b2,unknown_household_type,0
3+ Conditions,0,0,0,exit,2015-10-01,2015-10-31,Q13b2,without_children,0
3+ Conditions,0,0,0,exit,2015-10-01,2015-10-31,Q13b2,with_only_children,0
3+ Conditions,0,0,0,exit,2015-10-01,2015-10-31,Q13b2,unknown_household_type,0
Condition Unknown,6,0,2,exit,2015-10-01,2015-10-31,Q13b2,without_children,4
Condition Unknown,6,0,2,exit,2015-10-01,2015-10-31,Q13b2,with_only_children,0
Condition Unknown,6,0,2,exit,2015-10-01,2015-10-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-10-01,2015-10-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-10-01,2015-10-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-10-01,2015-10-31,Q13b2,unknown_household_type,0
Data Not Collected,1,0,0,exit,2015-10-01,2015-10-31,Q13b2,without_children,1
Data Not Collected,1,0,0,exit,2015-10-01,2015-10-31,Q13b2,with_only_children,0
Data Not Collected,1,0,0,exit,2015-10-01,2015-10-31,Q13b2,unknown_household_type,0
