"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",41,0.23
"""Income and Sources (4.2) at Start""",62,0.14
"""Income and Sources (4.2) at Annual Assessment""",81,0.88
"""Income and Sources (4.2) at Exit""",15,0.11
