, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",397,220,175,2,0
"""April""",0,0,0,0,0
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
