"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",119,88
"""1-3 days""",28,25
"""4-6 days""",17,12
"""7-10 days""",19,8
"""11+ days""",60,45
