"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",52,0.29
"""Income and Sources (4.2) at Start""",55,0.13
"""Income and Sources (4.2) at Annual Assessment""",74,0.71
"""Income and Sources (4.2) at Exit""",12,0.09
