, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",510,304,202,3,1
"""Hispanic/Latin(a)(o)(x)""",64,30,34,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",575,334,236,3,2
