"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",68,19
"""1-3 days""",4,5
"""4-6 days""",5,12
"""7-10 days""",6,11
"""11+ days""",84,132
