data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),2,0.01,data_quality,2020-08-01,2020-08-31,Q6c
Income and Sources (4.2) at Start,175,0.22,data_quality,2020-08-01,2020-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,221,0.8,data_quality,2020-08-01,2020-08-31,Q6c
Income and Sources (4.2) at Exit,77,0.49,data_quality,2020-08-01,2020-08-31,Q6c
