count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,423,101,166,stayers,2020-08-01,2020-08-31,Q13c2,without_children,136
None,423,101,166,stayers,2020-08-01,2020-08-31,Q13c2,with_only_children,12
None,423,101,166,stayers,2020-08-01,2020-08-31,Q13c2,unknown_household_type,8
1 Condition,203,22,9,stayers,2020-08-01,2020-08-31,Q13c2,without_children,171
1 Condition,203,22,9,stayers,2020-08-01,2020-08-31,Q13c2,with_only_children,0
1 Condition,203,22,9,stayers,2020-08-01,2020-08-31,Q13c2,unknown_household_type,1
2 Conditions,98,4,2,stayers,2020-08-01,2020-08-31,Q13c2,without_children,92
2 Conditions,98,4,2,stayers,2020-08-01,2020-08-31,Q13c2,with_only_children,0
2 Conditions,98,4,2,stayers,2020-08-01,2020-08-31,Q13c2,unknown_household_type,0
3+ Conditions,73,2,0,stayers,2020-08-01,2020-08-31,Q13c2,without_children,71
3+ Conditions,73,2,0,stayers,2020-08-01,2020-08-31,Q13c2,with_only_children,0
3+ Conditions,73,2,0,stayers,2020-08-01,2020-08-31,Q13c2,unknown_household_type,0
Condition Unknown,23,1,1,stayers,2020-08-01,2020-08-31,Q13c2,without_children,21
Condition Unknown,23,1,1,stayers,2020-08-01,2020-08-31,Q13c2,with_only_children,0
Condition Unknown,23,1,1,stayers,2020-08-01,2020-08-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,stayers,2020-08-01,2020-08-31,Q13c2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,stayers,2020-08-01,2020-08-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,stayers,2020-08-01,2020-08-31,Q13c2,unknown_household_type,0
Data Not Collected,47,8,22,stayers,2020-08-01,2020-08-31,Q13c2,without_children,11
Data Not Collected,47,8,22,stayers,2020-08-01,2020-08-31,Q13c2,with_only_children,3
Data Not Collected,47,8,22,stayers,2020-08-01,2020-08-31,Q13c2,unknown_household_type,3
