age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2020-08-01,2020-08-31,Q27b
Parent youth 18 to 24,8,11,19,7,parenting_youth,2020-08-01,2020-08-31,Q27b
