"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",5,0.08
"""Income and Sources (4.2) at Start""",55,0.14
"""Income and Sources (4.2) at Annual Assessment""",96,0.71
"""Income and Sources (4.2) at Exit""",14,0.33
