"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",53,21
"""1-3 days""",1,0
"""4-6 days""",5,3
"""7-10 days""",3,1
"""11+ days""",56,37
