, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",488,240,237,10,1
"""Hispanic/Latin(a)(o)(x)""",55,30,24,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",3,1,0,0,2
"""Total""",546,271,261,11,3
