, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",664,271,386,6,1
"""Hispanic/Latin(a)(o)(x)""",70,20,49,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",4,2,0,0,2
"""Total""",738,293,435,7,3
