"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",7,0.03
"""Income and Sources (4.2) at Start""",64,0.13
"""Income and Sources (4.2) at Annual Assessment""",83,0.76
"""Income and Sources (4.2) at Exit""",9,0.07
