"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",89,90
"""1-3 days""",15,5
"""4-6 days""",3,6
"""7-10 days""",6,6
"""11+ days""",77,119
