"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",123,61
"""1-3 days""",6,1
"""4-6 days""",8,8
"""7-10 days""",11,5
"""11+ days""",45,82
