"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",19,0.12
"""Income and Sources (4.2) at Start""",64,0.15
"""Income and Sources (4.2) at Annual Assessment""",74,0.76
"""Income and Sources (4.2) at Exit""",11,0.12
